Delay_1, 0
Delay_2, 799
Delay_3, 836
Delay_4, 1310
Delay_5, 803
Delay_6, 812
Delay_7, 864
Delay_8, 811
Delay_9, 809
Delay_10, 831
Delay_11, 11956
Delay_12, 647
Delay_13, 442
Delay_14, 470
Delay_15, 372
Delay_16, 392
Delay_17, 415
Delay_18, 379
Delay_19, 416
Delay_20, 377
Delay_21, 382
Delay_22, 11458
Delay_23, 456
Delay_24, 334
Delay_25, 328
Delay_26, 340
Delay_27, 343
Delay_28, 341
Delay_29, 346
Delay_30, 553
Delay_31, 753
Delay_32, 533
Delay_33, 11532
Delay_34, 368
Delay_35, 303
Delay_36, 313
Delay_37, 296
Delay_38, 313
Delay_39, 293
Delay_40, 294
Delay_41, 301
Delay_42, 319
Delay_43, 310
Delay_44, 11381
Delay_45, 355
Delay_46, 337
Delay_47, 326
Delay_48, 299
Delay_49, 316
Delay_50, 325
Delay_51, 278
Delay_52, 272
Delay_53, 301
Delay_54, 289
Delay_55, 11342
Delay_56, 307
Delay_57, 271
Delay_58, 319
Delay_59, 301
Delay_60, 304
Delay_61, 291
Delay_62, 285
Delay_63, 314
Delay_64, 284
Delay_65, 322
Delay_66, 11368
Delay_67, 310
Delay_68, 247
Delay_69, 348
Delay_70, 320
Delay_71, 284
Delay_72, 298
Delay_73, 279
Delay_74, 295
Delay_75, 284
Delay_76, 297
Delay_77, 11363
Delay_78, 454
Delay_79, 350
Delay_80, 340
Delay_81, 345
Delay_82, 324
Delay_83, 296
Delay_84, 337
Delay_85, 314
Delay_86, 317
Delay_87, 298
Delay_88, 11444
Delay_89, 696
Delay_90, 723
Delay_91, 770
Delay_92, 843
Delay_93, 815
Delay_94, 801
Delay_95, 786
Delay_96, 754
Delay_97, 787
Delay_98, 767
Delay_99, 11872
Delay_100, 811
